year,region,gender,year_born,education_tier,marriage_tier,income_tier,occupation_code
2008,1,1,1960,3,1,2,53
2009,1,1,1960,3,1,2,53
2010,1,1,1960,3,1,3,53
2011,1,1,1960,3,1,3,53
2012,1,1,1960,3,1,3,53
2013,1,1,1960,3,1,3,53
2014,1,1,1960,3,1,3,53
2015,1,1,1960,3,1,4,94
2016,1,1,1960,3,1,4,94
2017,1,1,1960,3,1,4,94
2018,1,1,1960,3,1,4,94
2005,1,1,1959,2,1,2,91
2006,1,1,1959,2,1,2,43
2007,1,1,1959,2,1,2,84
2008,1,1,1959,2,1,2,92
2009,1,1,1959,2,1,2,92
2010,1,1,1959,2,1,2,92
2011,1,1,1959,2,1,3,92
2012,1,1,1959,2,1,2,92
2013,1,1,1959,2,1,2,92
2014,1,1,1959,2,1,2,87
2015,1,1,1959,2,1,2,87
2016,1,1,1959,2,1,3,87
2017,1,1,1959,2,1,3,87
2018,1,1,1959,2,1,3,87
2013,1,1,1964,2,0,2,75
2014,1,1,1964,2,0,2,75
2015,1,1,1964,2,0,2,75
2016,1,1,1964,2,0,2,75
2017,1,1,1964,2,0,2,75
2018,1,1,1964,2,0,2,75
2005,1,1,1969,3,1,2,25
2008,1,1,1969,3,1,2,31
2009,1,1,1969,3,1,2,31
2010,1,1,1969,3,1,2,31
2011,1,1,1969,3,1,2,31
2012,1,1,1969,3,1,3,31
2013,1,1,1969,3,1,2,31
2014,1,1,1969,3,1,3,31
2015,1,1,1969,3,1,3,31
2016,1,1,1969,3,1,3,31
2017,1,1,1969,3,1,3,31
2018,1,1,1969,3,1,3,31
2006,1,1,1966,3,1,2,15
2007,2,1,1966,3,1,2,15
2008,2,1,1966,3,1,2,25
2009,2,1,1966,3,1,3,25
2010,2,1,1966,3,1,3,25
2011,2,1,1966,3,1,3,25
2012,2,1,1966,3,1,3,25
2013,2,1,1966,3,1,3,25
2014,2,1,1966,3,1,3,25
2015,2,1,1966,3,1,3,25
2016,2,1,1966,3,1,3,25
2017,2,1,1966,3,1,3,25
2018,2,1,1966,3,1,3,25
2006,1,1,1971,2,0,2,71
2007,1,1,1971,2,0,2,71
2007,1,1,1978,3,1,3,73
2008,1,1,1978,3,1,2,23
2009,1,1,1978,3,1,2,75
2010,1,1,1978,3,1,3,75
2011,1,1,1978,3,1,3,75
2012,1,1,1978,3,1,3,75
2013,1,1,1978,3,1,3,75
2014,1,1,1978,3,1,3,75
2015,1,1,1978,3,1,3,75
2016,1,1,1978,3,1,3,75
2017,1,1,1978,3,1,3,75
2018,1,1,1978,3,1,3,75
2016,2,1,1979,3,1,4,14
2017,2,1,1979,3,1,3,14
2018,2,1,1979,3,1,4,31
2005,1,1,1972,2,1,2,75
2006,1,1,1972,2,1,2,91
2007,1,1,1972,2,1,2,93
2009,1,1,1972,2,1,2,72
2010,1,1,1972,2,1,2,72
2011,1,1,1972,2,1,2,72
2012,1,1,1972,2,1,2,72
2013,1,1,1972,2,1,3,72
2014,1,1,1972,2,1,3,72
2016,1,1,1972,2,1,3,72
2011,1,1,1975,3,1,3,24
2012,1,1,1975,3,1,3,24
2013,1,1,1975,3,1,3,24
2014,2,1,1975,3,1,3,24
2015,2,1,1975,3,1,3,24
2016,1,1,1975,3,1,4,31
2017,1,1,1975,3,1,4,31
2014,2,1,1984,2,1,2,76
2015,1,1,1984,2,1,2,76
2016,1,1,1984,2,1,3,76
2017,1,1,1984,2,1,3,76
2018,2,1,1984,2,1,3,76
2005,1,1,1973,3,1,2,15
2005,1,1,1970,3,1,3,51
2014,1,1,1975,3,1,3,23
2015,1,1,1975,3,1,3,23
2016,1,1,1975,3,1,3,23
2017,1,1,1975,3,1,3,23
2018,1,1,1975,3,1,4,23
2005,1,1,1980,2,1,1,42
2005,1,1,1959,3,1,2,94
2009,1,1,1959,3,1,2,77
2010,1,1,1959,3,1,3,77
2012,1,1,1959,3,1,2,77
2005,1,1,1975,2,1,2,51
2006,1,1,1975,2,1,2,51
2007,1,1,1975,2,1,2,51
2008,1,1,1975,2,1,2,15
2005,1,1,1972,3,1,2,31
2006,1,1,1972,3,1,2,31
2007,1,1,1972,3,1,2,31
2008,1,1,1972,3,1,2,31
2009,1,1,1972,3,1,3,31
2010,1,1,1972,3,1,3,31
2011,1,1,1972,3,1,3,51
2012,1,1,1972,3,1,3,51
2013,1,1,1972,3,1,3,51
2014,1,1,1972,3,1,3,28
2005,1,1,1959,2,1,2,82
2007,1,1,1959,2,1,2,72
2008,1,1,1959,2,1,2,74
2009,1,1,1959,2,1,3,74
2010,1,1,1959,2,1,3,74
2011,1,1,1959,2,1,3,74
2012,1,1,1959,2,1,4,74
2013,1,1,1959,2,1,4,74
2014,1,1,1959,2,1,4,74
2015,1,1,1959,2,1,4,74
2016,1,1,1959,2,1,4,74
2005,1,1,1969,2,1,3,31
2006,1,1,1969,2,1,2,32
2007,1,1,1969,2,1,3,32
2008,1,1,1969,2,1,3,32
2009,1,1,1969,2,1,3,32
2005,1,1,1973,3,1,3,31
2006,1,1,1973,3,1,3,31
2007,1,1,1973,3,1,3,31
2008,1,1,1973,3,1,2,31
2005,1,1,1967,2,1,3,84
2006,1,1,1967,2,1,2,84
2007,1,1,1967,2,1,2,84
2008,1,1,1967,2,1,2,87
2009,1,1,1967,2,1,2,87
2010,1,1,1967,2,1,2,87
2011,1,1,1967,2,1,3,87
2012,1,1,1967,2,1,3,87
2013,1,1,1967,2,1,3,87
2014,1,1,1967,2,1,3,87
2015,1,1,1967,2,1,3,87
2016,1,1,1967,2,1,3,87
2017,1,1,1967,2,1,3,87
2018,1,1,1967,2,1,3,87
2005,1,1,1970,2,1,2,31
2006,1,1,1970,2,1,2,91
2007,1,1,1970,2,1,2,91
2008,1,1,1970,2,1,2,92
2009,1,1,1970,2,1,2,92
2010,1,1,1970,2,1,2,92
2011,1,1,1970,2,1,3,92
2005,1,1,1973,3,1,1,31
2006,1,1,1973,3,1,2,31
2007,1,1,1973,3,1,2,31
2008,1,1,1973,3,1,2,31
2009,1,1,1973,3,1,3,52
2010,1,1,1973,3,1,3,52
2011,1,1,1973,3,1,3,15
2012,2,1,1973,3,1,3,31
2013,1,1,1973,3,1,3,31
2014,1,1,1973,3,1,4,31
2015,1,1,1973,3,1,4,31
2016,1,1,1973,3,1,4,31
2017,1,1,1973,3,1,3,31
2018,1,1,1973,3,1,3,53
2005,1,1,1973,2,1,2,31
2006,1,1,1973,2,1,2,31
2007,1,1,1973,2,1,2,31
2008,1,1,1973,2,1,2,31
2009,1,1,1973,2,1,2,31
2010,1,1,1973,2,1,2,31
2011,1,1,1973,2,1,3,31
2012,1,1,1973,2,1,2,31
2013,1,1,1973,2,1,3,31
2014,1,1,1973,2,1,3,31
2015,1,1,1973,2,1,3,31
2016,1,1,1973,2,1,3,31
2017,1,1,1973,2,1,3,31
2018,1,1,1973,2,1,3,31
2008,1,1,1964,2,1,3,33
2009,1,1,1964,2,1,3,33
2011,1,1,1964,3,1,3,26
2012,1,1,1964,3,1,3,26
2013,1,1,1964,3,1,3,26
2014,1,1,1964,3,1,3,26
2015,1,1,1964,3,1,3,26
2018,1,1,1964,3,1,2,33
2008,1,1,1980,2,1,2,91
2005,1,1,1978,3,0,3,51
2005,1,1,1976,2,1,2,22
2006,1,1,1976,2,1,3,51
2007,1,1,1976,2,1,3,51
2008,1,1,1976,2,1,3,52
2011,1,1,1976,2,1,2,94
2012,1,1,1976,2,1,2,94
2013,1,1,1976,2,1,2,94
2014,1,1,1976,2,1,3,94
2015,1,1,1976,2,1,3,94
2016,1,1,1976,2,1,3,94
2017,1,1,1976,2,1,3,94
2018,1,1,1976,2,1,3,94
2005,1,1,1976,3,1,2,24
2006,1,1,1976,3,1,2,24
2007,1,1,1976,3,1,2,24
2008,1,1,1976,3,1,2,24
2009,1,1,1976,3,1,2,24
2010,1,1,1976,3,1,2,24
2011,1,1,1976,3,1,2,24
2012,1,1,1976,3,1,2,24
2013,2,1,1976,3,1,2,24
2014,2,1,1976,3,1,2,24
2015,2,1,1976,3,1,3,24
2016,2,1,1976,3,1,3,24
2017,2,1,1976,3,1,3,24
2018,2,1,1976,3,1,3,24
2005,1,1,1977,2,1,2,42
2006,1,1,1977,2,1,3,42
2007,1,1,1977,2,1,3,42
2008,1,1,1977,2,1,2,44
2009,1,1,1977,2,1,2,44
2010,1,1,1977,2,1,2,44
2011,1,1,1977,2,1,3,44
2012,7,1,1977,2,1,2,44
2013,7,1,1977,2,1,3,44
2014,7,1,1977,2,1,3,44
2015,7,1,1977,2,1,3,44
2016,7,1,1977,2,1,3,44
2017,7,1,1977,2,1,3,44
2018,7,1,1977,2,1,3,44
2007,2,1,1985,2,0,2,42
2008,5,1,1985,2,0,2,41
2009,5,1,1985,2,0,2,41
2010,5,1,1985,2,0,2,93
2011,5,1,1985,2,0,2,93
2012,5,1,1985,2,0,2,93
2013,5,1,1985,2,1,2,43
2014,5,1,1985,2,1,3,31
2015,5,1,1985,2,1,3,42
2005,1,1,1979,2,1,1,23
2007,1,1,1979,2,1,2,51
2008,1,1,1979,2,1,3,51
2009,1,1,1979,2,1,3,51
2010,1,1,1979,2,1,3,51
2011,2,1,1979,2,1,2,51
2012,2,1,1979,2,1,3,51
2013,2,1,1979,2,1,3,51
2014,2,1,1979,2,1,3,22
2015,2,1,1979,2,1,3,22
2016,2,1,1979,2,1,3,22
2017,2,1,1979,2,1,3,22
2018,2,1,1979,2,1,3,22
2005,1,1,1964,2,1,2,82
2006,1,1,1964,2,1,2,91
2007,1,1,1964,2,1,2,51
2008,1,1,1964,2,1,2,51
2009,1,1,1964,2,1,2,51
2005,1,1,1974,3,1,3,25
2005,1,1,1963,3,1,3,31
2006,1,1,1963,3,1,3,31
2007,1,1,1963,3,1,3,31
2008,1,1,1963,3,1,3,31
2009,1,1,1963,3,1,3,31
2010,1,1,1963,3,1,4,31
2011,1,1,1963,3,1,3,31
2012,1,1,1963,3,1,3,31
2013,1,1,1963,3,1,4,31
2014,1,1,1963,3,1,4,31
2005,1,1,1972,2,1,3,82
2005,1,1,1971,2,1,2,23
2006,1,1,1971,2,0,2,71
2005,1,1,1977,3,1,1,51
2006,1,1,1977,3,1,3,51
2007,1,1,1977,3,1,2,51
2008,1,1,1977,3,1,2,51
2009,2,1,1977,3,1,2,27
2010,2,1,1977,3,1,2,27
2011,2,1,1977,3,1,3,27
2012,2,1,1977,3,1,3,15
2013,2,1,1977,3,1,3,15
2014,2,1,1977,3,1,3,51
2015,2,1,1977,3,1,3,51
2016,2,1,1977,3,1,3,51
2017,2,1,1977,3,1,3,51
2018,2,1,1977,3,1,3,51
2014,1,1,1960,1,0,2,91
2015,1,1,1960,1,0,2,91
2016,1,1,1960,1,0,2,91
2017,1,1,1960,1,0,3,91
2005,1,1,1965,2,1,3,73
2006,1,1,1965,2,1,3,73
2007,1,1,1965,2,1,3,73
2008,1,1,1965,2,1,3,76
2009,1,1,1965,2,1,3,76
2010,1,1,1965,2,1,3,76
2011,1,1,1965,2,1,3,76
2012,1,1,1965,2,1,4,76
2013,1,1,1965,2,1,3,76
2014,1,1,1965,2,1,3,76
2015,1,1,1965,2,1,3,76
2016,1,1,1965,2,1,4,76
2018,1,1,1965,2,1,4,76
2005,1,1,1961,2,1,2,51
2007,1,1,1961,2,1,2,84
2008,1,1,1961,2,1,2,87
2005,1,1,1965,3,1,1,91
2007,1,1,1965,3,1,2,91
2008,1,1,1965,3,1,2,92
2009,1,1,1965,3,1,2,92
2010,1,1,1965,3,1,2,92
2011,1,1,1965,3,1,2,92
2012,1,1,1965,3,1,2,91
2013,1,1,1965,3,1,2,15
2014,1,1,1965,3,1,2,99
2008,1,1,1960,2,1,2,28
2009,1,1,1960,2,1,2,28
2011,1,1,1978,2,1,2,76
2012,1,1,1978,2,1,2,76
2013,1,1,1978,2,1,3,76
2014,1,1,1978,2,1,2,76
2015,1,1,1978,2,1,3,92
2005,1,1,1974,3,1,1,12
2006,1,1,1974,3,1,3,12
2007,1,1,1974,3,1,3,12
2008,1,1,1974,3,1,3,22
2009,1,1,1974,3,1,3,22
2010,1,1,1974,3,1,3,22
2012,1,1,1974,3,1,3,22
2013,1,1,1974,3,1,3,22
2014,1,1,1974,3,1,4,22
2015,1,1,1974,3,1,4,22
2016,1,1,1974,3,1,4,22
2017,1,1,1974,3,1,4,22
2018,1,1,1974,3,1,4,22
2009,5,1,1983,2,1,3,52
2010,5,1,1983,2,1,2,76
2011,5,1,1983,2,1,2,76
2012,5,1,1983,2,1,2,76
2013,5,1,1983,2,1,2,76
2014,5,1,1983,2,1,2,76
2015,5,1,1983,2,1,2,76
2016,5,1,1983,2,1,3,76
2017,5,1,1983,2,1,3,76
2018,5,1,1983,2,1,3,76
2005,1,1,1967,2,0,2,75
2006,1,1,1967,2,0,2,91
2007,1,1,1967,2,0,2,91
2008,1,1,1967,2,0,2,93
2005,1,1,1974,2,1,1,91
2007,1,1,1974,2,1,2,73
2008,1,1,1974,2,1,2,76
2009,1,1,1959,2,1,3,87
2010,1,1,1959,2,1,4,87
2011,1,1,1959,2,1,3,87
2012,1,1,1959,2,1,3,87
2013,1,1,1959,2,1,4,87
2014,1,1,1959,2,1,4,87
2015,1,1,1959,2,1,3,87
2016,1,1,1959,2,1,4,87
2017,1,1,1959,2,1,4,87
